title,content,tags,postId,score
"What's the best way to get to know linux or BSD kernel internals?","I'd like to gain better knowledge of operating system internals. Process management, memory management, and stuff like that. I was thinking of learning by getting to know either linux or BSD kernel. Which one kernel is better for learning purposes? What's the best place to start? Can you recommend any good books?","linux,operating-system,kernel,bsd,osdev","24648","22"
"Subversion Management Tools","we have a lot of users running in different shared and solo-owned repositories in Subversion. As part of our work, we do project-shared code and individual work, and we need to control access, ideally on a group basis. Currenly, we use SVNManager to allow users to manage access and create repositories. However, in order to get that working we had to do quite a bit of hacking. Does anyone know of a free, open-source, linux-compatible SVN management system? Thanks for your help.","linux,svn","15211","13"
"Force unmount of NFS-mounted directory","I have an NFS-mounted directory on a Linux machine that has hung. I've tried to force an unmount, but it doesn't seem to work: $ umount -f /mnt/data $ umount2: Device or resource busy $ umount: /mnt/data: device is busy If I type ""mount"", it appears that the directory is no longer mounted, but it hangs if I do ""ls /mnt/data"", and if I try to remove the mountpoint, I get: $ rmdir /mnt/data rmdir: /mnt/data: Device or resource busy Is there anything I can do other than reboot the machine?","linux,mount,nfs,umount,nfsclient","40317","163"
"Load Balancing of Process in 1 Server","I have 1 process that receives incoming connection from port 1000 in 1 linux server. However, 1 process is not fast enough to handle all the incoming request. I want to run multiple processes in the server but with 1 end-point. In this way, the client will only see 1 end-point/process not multiple. I have checked LVS and other Load Balancing Solution. Those solutions seem geared towards multiple servers load-balancing. Any other solution to help on my case? i am looking something more like nginx where i will need to run multiple copies of my app. Let me try it out. Thanks for the help.","linux,load-balancing","45252","1"
"What's a Good Database ERD Tool for Linux?","I've recently switched to Linux on my work machine and, new to the Linux desktop environment, I'd like to find a decent ERD tool for database design. Booting back into my Windows partition every time I need to create a diagram is going to get unpleasant quickly. I looked at Dia, but didn't see any DB tools - only UML, networking, etc. Anyone have any recommendations? For what it's worth, I'm using Ubuntu (Hardy Heron). Thanks.","linux,ubuntu,erd","14032","28"
"Mapping my custom keys in Debian","I have a Microsoft keyboard with a series of non-standard buttons such as ""Mail"", ""Search"" , ""Web/Home"" etc. It would be nice to be able to bind these keys so they execute arbitrary programs. Does anybody know how to do this in Debian Etch?","linux,keyboard,debian","6812","3"
"Securing a linux webserver for public access","I'd like to set up a cheap Linux box as a web server to host a variety of web technologies (PHP & Java EE come to mind, but I'd like to experiment with Ruby or Python in the future as well). I'm fairly versed in setting up Tomcat to run on Linux for serving up Java EE applications, but I'd like to be able to open this server up, even just so I can create some tools I can use while I am working in the office. All the experience I've had with configuring Java EE sites has all been for intranet applications where we were told not to focus on securing the pages for external users. What is your advice on setting up a personal Linux web server in a secure enough way to open it up for external traffic?","linux,security,webserver","5078","21"
"Virtual Serial Port for Linux","I need to test a serial port application on Linux, however, my test machine only has one serial port. Is there a way to add a virtual serial port to Linux and test my application by emulating a device through a shell or script? Note: I cannot remap the port, it hard coded on ttys2 and I need to test the application as it is written.","linux,serial-port,virtual-serial-port","52187","190"
"How to recover or change Oracle sysdba password","We are working with an oracle database in which the person that set it up is ""long gone"" and thus do not know the sysdba password, but need it. We have root access to the box (its on linux). Is there any way to recover or change the sys passwords?","linux,oracle,authentication,passwords,sysdba","52239","16"
"Text Editor For Linux (Besides Vi)?","Let me preface this question by saying I use TextMate on Mac OSX for my text needs and I am in love with it. Anything comparable on the Linux platform? I'll mostly use it for coding python/ruby. Doing a google search yielded outdated answers. Edit: Since there has been some concern about the 'merit' of this question. I am about to start a new Ruby Programming Project in Linux and before I got started I wanted to make sure I had the right tools to do the job. Edit #2: I use VIM on a daily basis -- all . the . time. I enjoy using it. I was just looking for some alternatives.","linux,editor","2898","50"
"Hosting a website on your own server","Is there a detailed guide which explains how to host a website on your own server on linux. I have currently hosted it on one of the commerical web-hosts. Also the domain is registered to a different vendor. Thanks","linux,dns,web-hosting","82431","4"
"Register file extensions / mime types in Linux","I'm developing a Linux application that has its own file format. I want my app to open when you double-click on those files. How can I register a file extension and associate it with my application on Linux? I'm looking for a way that is standard (works with GNOME and KDE based systems) and can be done automatic when my program is installed or run for the first time.","linux,installation,mime,file-type","30931","61"
"Globus Toolkit virtual machine","Is there anyplace where one can download a virtual machine containing a working install of some Linux distro with Globus Toolkit and some development tools (Java) for testing purposes? A real deployment of a grid is more complicated but I just need something portable, for development.","linux,virtual-machine,globus-toolkit","8626","2"
"svn over HTTP proxy","I'm on laptop (Ubuntu) with a network that use HTTP proxy (only http connections allowed). When I use svn up for url like 'http://.....' everything is cool (google chrome repository works perfect), but right now I need to svn up from server with 'svn://....' and I see connection refused. I've set proxy configuration in /etc/subversion/servers but it doesn't help. Anyone have opinion/solution?","linux,svn,ubuntu,proxy","82530","51"
"How do I setup Public-Key Authentication?","How do I setup Public-Key Authentication for SSH?","linux,ssh,private-key,public-key","7260","63"
"What is the best way to partition terabyte drive in a linux development machine?","I have a new 1 TB drive coming in tomorrow. What is the best way to divide this space for a development workstation? The biggest problem I think I'm going to have is that some partitions (probably /usr) will become to small after a bit of use. Other partitions are probably to huge. The swap drive for example is currently 2GB (2x 1GB RAM), but it is almost never used (only once that I know of).","linux,storage,disk-partitioning","17020","3"
"How do you get sudo access for a file inside the vi text editor?","Often while editing config files, I'll open one with vi and then when I go to save it realize that I didn't type sudo vi filename Is there any way to give vi sudo privileges to save the file? I seem to recall seeing something about this while looking up some stuff about vi a while ago, but now I can't find it.","linux,unix,vi","1005","254"
